# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=0) -> e + D2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  0  1.18243E+01    1.60160E-01  -4.96590E-01   3.07720E+00  -6.56670E+00   5.14770E+00
   1 <-  0  1.20494E+01    2.06220E-01  -8.17510E-01   5.05570E+00  -1.07850E+01   8.49580E+00
   2 <-  0  1.22660E+01    2.17790E-01  -9.01560E-01   5.50750E+00  -1.17080E+01   9.13200E+00
   3 <-  0  1.24741E+01    1.91480E-01  -6.92690E-01   4.22690E+00  -8.99110E+00   7.05450E+00
   4 <-  0  1.26740E+01    1.64420E-01  -5.05790E-01   3.05910E+00  -6.48230E+00   5.05360E+00
   5 <-  0  1.28659E+01    1.33780E-01  -3.31780E-01   1.99260E+00  -4.19990E+00   3.25930E+00
   6 <-  0  1.30497E+01    1.03750E-01  -1.97970E-01   1.18500E+00  -2.48150E+00   1.92520E+00
   7 <-  0  1.32257E+01    8.26470E-02  -1.24100E-01   7.34170E-01  -1.51770E+00   1.16180E+00
   8 <-  0  1.33938E+01    6.37810E-02  -7.30850E-02   4.28810E-01  -8.73850E-01   6.62690E-01
   9 <-  0  1.35540E+01    4.77760E-02  -4.06080E-02   2.37290E-01  -4.76020E-01   3.59450E-01
  10 <-  0  1.37063E+01    3.75990E-02  -2.47990E-02   1.42940E-01  -2.81100E-01   2.08280E-01
  11 <-  0  1.38504E+01    2.89840E-02  -1.45490E-02   8.30190E-02  -1.59920E-01   1.16770E-01
  12 <-  0  1.39863E+01    2.12970E-02  -7.77690E-03   4.43410E-02  -8.34650E-02   6.07710E-02
  13 <-  0  1.41136E+01    1.69980E-02  -4.88470E-03   2.74540E-02  -5.05570E-02   3.59700E-02
  14 <-  0  1.42318E+01    1.39120E-02  -3.22740E-03   1.78450E-02  -3.22290E-02   2.23160E-02
  15 <-  0  1.43404E+01    1.13660E-02  -2.12810E-03   1.16070E-02  -2.05740E-02   1.38990E-02
  16 <-  0  1.44385E+01    9.19760E-03  -1.37870E-03   7.44440E-03  -1.29400E-02   8.55770E-03
  17 <-  0  1.45251E+01    7.48040E-03  -9.02960E-04   4.83010E-03  -8.23680E-03   5.33190E-03
  18 <-  0  1.45987E+01    6.41030E-03  -6.58000E-04   3.47180E-03  -5.88520E-03   3.72090E-03
  19 <-  0  1.46577E+01    5.34700E-03  -4.55040E-04   2.37600E-03  -4.00580E-03   2.48660E-03
  20 <-  0  1.47004E+01    4.22170E-03  -2.82420E-04   1.46440E-03  -2.45700E-03   1.50600E-03
  21 <-  0  1.47269E+01    3.07170E-03  -1.49120E-04   7.70040E-04  -1.28820E-03   7.83670E-04
  22 <-  0  1.47403E+01    2.05820E-03  -6.68640E-05   3.44590E-04  -5.75540E-04   3.48830E-04
  23 <-  0  1.47467E+01    1.54150E-03  -3.74820E-05   1.92990E-04  -3.22080E-04   1.94870E-04
  24 <-  0  1.47512E+01    1.36750E-03  -2.94850E-05   1.51710E-04  -2.53060E-04   1.52920E-04
  25 <-  0  1.47546E+01    1.15450E-03  -2.10080E-05   1.08040E-04  -1.80130E-04   1.08750E-04
  26 <-  0  1.47570E+01    9.27380E-04  -1.35520E-05   6.96760E-05  -1.16130E-04   7.00670E-05
  27 <-  0  1.47584E+01    7.14560E-04  -8.04490E-06   4.13520E-05  -6.89120E-05   4.15600E-05
  28 <-  0  1.47592E+01    5.30500E-04  -4.43380E-06   2.27870E-05  -3.79710E-05   2.28950E-05
  29 <-  0  1.47597E+01    3.77520E-04  -2.24530E-06   1.15390E-05  -1.92260E-05   1.15910E-05
  30 <-  0  1.47599E+01    2.78400E-04  -1.22100E-06   6.27470E-06  -1.04550E-05   6.30260E-06
  DE <-  0  1.47600E+01    9.27000E-09   1.76310E-04  -1.16370E-03   6.61790E-03  -5.25400E-03
